employee_residence,work_year,salary,salary_in_usd,remote_ratio,Country_code,country_name,region_name
AR,2022,36600.0,36600.0,100.0,AR,Argentine,Amerique
AR,2023,30000.0,30000.0,100.0,AR,Argentine,Amerique
AT,2020,72500.0,82683.5,25.0,AT,Autriche,Europe
AT,2022,64666.666666666664,67098.33333333333,33.333333333333336,AT,Autriche,Europe
AT,2023,56000.0,60093.0,100.0,AT,Autriche,Europe
AU,2021,78000.0,58539.0,50.0,AU,Australie,Oceanie
AU,2022,110750.0,84048.75,75.0,AU,Australie,Oceanie
AU,2023,100000.0,68318.0,100.0,AU,Australie,Oceanie
BE,2021,73333.33333333333,86933.33333333333,83.33333333333333,BE,Belgique,Europe
BE,2022,59833.333333333336,62020.333333333336,83.33333333333333,BE,Belgique,Europe
BO,2022,52500.0,52500.0,83.33333333333333,BO,Bolivie,Amerique
BR,2021,79022.22222222222,47984.444444444445,55.55555555555556,BR,Brésil,Amerique
BR,2022,60891.666666666664,52779.833333333336,100.0,BR,Brésil,Amerique
BR,2023,101400.0,19522.0,100.0,BR,Brésil,Amerique
CA,2020,157000.0,117104.0,50.0,CA,Canada,Amerique
CA,2021,127222.22222222222,101603.94444444444,83.33333333333333,CA,Canada,Amerique
CA,2022,130872.5,122459.075,63.75,CA,Canada,Amerique
CA,2023,153917.14285714287,151720.05714285714,50.0,CA,Canada,Amerique
CH,2022,89666.66666666667,93878.33333333333,66.66666666666667,CH,Ghana ,Afrique
CH,2023,112000.0,121093.0,50.0,CH,Ghana ,Afrique
CL,2021,30400000.0,40418.0,100.0,CL,Chili,Amerique
CL,2022,105000.0,105000.0,100.0,CL,Chili,Amerique
CZ,2021,69999.0,69999.0,50.0,CZ,République tchèque,Europe
CZ,2022,120000.0,5132.0,100.0,CZ,République tchèque,Europe
DK,2020,300000.0,45896.0,50.0,DK,Danemark,Europe
DK,2021,160000.0,25510.666666666668,50.0,DK,Danemark,Europe
DZ,2022,100000.0,100000.0,50.0,DZ,Algérie,Afrique
EE,2022,30000.0,31520.0,100.0,EE,Estonie,Europe
EG,2022,22800.0,22800.0,100.0,EG,Egypte,Afrique
ES,2020,78266.66666666667,83136.33333333333,83.33333333333333,ES,Espagne,Europe
ES,2021,40196.0,44529.9,90.0,ES,Espagne,Europe
ES,2022,49860.46511627907,52159.13953488372,27.906976744186046,ES,Espagne,Europe
ES,2023,71960.71428571429,74555.21428571429,30.357142857142858,ES,Espagne,Europe
FI,2022,60000.0,63040.0,50.0,FI,Finlande,Europe
FI,2023,100000.0,75020.0,0.0,FI,Finlande,Europe
FR,2020,45750.0,52176.333333333336,33.333333333333336,FR,France,Europe
FR,2021,47790.58823529412,55380.882352941175,61.76470588235294,FR,France,Europe
FR,2022,93317.64705882352,67517.5294117647,82.3529411764706,FR,France,Europe
FR,2023,64000.0,68092.8,70.0,FR,France,Europe
GB,2020,77666.66666666667,99618.0,66.66666666666667,GB,Grande-Bretagne,Europe
GB,2021,61117.913043478264,80842.17391304347,58.69565217391305,GB,Grande-Bretagne,Europe
GB,2022,69196.0,84577.07058823529,45.294117647058826,GB,Grande-Bretagne,Europe
GB,2023,77638.22727272728,90798.62121212122,31.818181818181817,GB,Grande-Bretagne,Europe
GR,2020,51000.0,58163.5,75.0,GR,Grèce,Europe
GR,2021,54500.0,64693.5,100.0,GR,Grèce,Europe
GR,2022,54090.90909090909,56739.09090909091,81.81818181818181,GR,Grèce,Europe
GR,2023,12000.0,12877.0,50.0,GR,Grèce,Europe
HN,2020,20000.0,20000.0,0.0,HN,Handuras,Amerique
HR,2020,40000.0,45618.0,100.0,HR,Croatie,Europe
HR,2023,75000.0,91142.5,0.0,HR,Croatie,Europe
ID,2022,15000.0,15000.0,0.0,ID,Indonésie,Asie
IE,2022,114500.0,120301.0,100.0,IE,Irlande,Europe
IE,2023,109000.0,112800.4,20.0,IE,Irlande,Europe
IL,2023,1500000.0,423834.0,0.0,IL,Israel,Asie
IN,2020,1064600.0,14365.0,50.0,IN,Inde,Asie
IN,2021,1944046.3720930233,33661.88372093023,63.95348837209303,IN,Inde,Asie
IN,2022,1925960.0,49808.2,82.0,IN,Inde,Asie
IN,2023,1214333.3333333333,29240.6,66.66666666666667,IN,Inde,Asie
IT,2020,19000.0,21669.0,50.0,IT,Italie,Europe
IT,2021,68640.0,79938.8,50.0,IT,Italie,Europe
IT,2022,38500.0,40032.5,62.5,IT,Italie,Europe
JP,2020,2355000.0,150844.5,50.0,JP,Japon,Asie
JP,2021,2664000.0,104179.16666666667,33.333333333333336,JP,Japon,Asie
JP,2022,40000.0,40000.0,100.0,JP,Japon,Asie
LT,2022,90240.0,94812.0,0.0,LT,Lesotho,Afrique
LU,2021,50000.0,59351.5,100.0,LU,Luxembourg,Europe
MD,2021,18000.0,18000.0,0.0,MD,Moldavie,Europe
MT,2021,24000.0,28488.5,50.0,MT,Haiti,Amerique
MX,2020,720000.0,33511.0,0.0,MX,Mexique,Amerique
MX,2021,58000.0,2876.0,0.0,MX,Mexique,Amerique
MX,2022,120500.0,120500.0,100.0,MX,Mexique,Amerique
MX,2023,81600.0,81600.0,100.0,MX,Mexique,Amerique
MY,2022,200000.0,200000.0,100.0,MY,Malaisie,Asie
NG,2020,11666.666666666666,11666.666666666666,66.66666666666667,NG,Nigeria,Afrique
NG,2021,50000.0,50000.0,100.0,NG,Nigeria,Afrique
NG,2022,200000.0,200000.0,100.0,NG,Nigeria,Afrique
NG,2023,60000.0,60000.0,83.33333333333333,NG,Nigeria,Afrique
NL,2020,42000.0,42000.0,50.0,NL,Pays-bas ,Europe
NL,2021,60800.0,66872.33333333333,100.0,NL,Pays-bas ,Europe
NL,2022,80500.0,83736.0,43.75,NL,Pays-bas ,Europe
NL,2023,80000.0,83410.66666666667,83.33333333333333,NL,Pays-bas ,Europe
PH,2020,45760.0,45760.0,100.0,PH,Philippines,Asie
PH,2021,50000.0,50000.0,100.0,PH,Philippines,Asie
PK,2020,21333.333333333332,23580.666666666668,66.66666666666667,PK,Pakistan,Asie
PK,2021,12000.0,12000.0,75.0,PK,Pakistan,Asie
PK,2022,38200.0,38868.75,75.0,PK,Pakistan,Asie
PL,2020,100000.0,114047.0,100.0,PL,Pologne,Europe
PL,2021,145000.0,37750.75,100.0,PL,Pologne,Europe
PL,2022,174000.0,38987.0,100.0,PL,Pologne,Europe
PL,2023,78000.0,17779.0,100.0,PL,Pologne,Europe
PR,2021,160000.0,160000.0,50.0,PR,Porto Rico,Amerique
PR,2022,167500.0,167500.0,100.0,PR,Porto Rico,Amerique
RU,2020,60000.0,60000.0,100.0,RU,Russie,Asie
RU,2021,157500.0,157500.0,25.0,RU,Russie,Asie
RU,2022,48000.0,48000.0,100.0,RU,Russie,Asie
SE,2023,105000.0,105000.0,75.0,SE,Suède,Europe
SI,2021,43000.0,50898.0,66.66666666666667,SI,Slovénie,Europe
SI,2023,57500.0,61702.5,100.0,SI,Slovénie,Europe
TH,2021,15000.0,15000.0,100.0,TH,Thailande,Asie
TH,2023,920000.0,27096.5,50.0,TH,Thailande,Asie
TR,2021,179333.33333333334,20929.166666666668,50.0,TR,Turquie,Asie
TR,2022,17500.0,17500.0,25.0,TR,Turquie,Asie
US,2020,157962.0,157962.0,84.0,US,Etats-unis,Amerique
US,2021,153534.29487179487,153534.29487179487,78.2051282051282,US,Etats-unis,Amerique
US,2022,148131.64377358492,148131.64377358492,54.301886792452834,US,Etats-unis,Amerique
US,2023,157043.0798722045,157043.0798722045,32.6517571884984,US,Etats-unis,Amerique
VN,2021,35600.0,35600.0,75.0,VN,Viêt Nam,Asie
VN,2023,12000.0,12000.0,0.0,VN,Viêt Nam,Asie
